scenario,parameter,domain,level,outcome,value,baseline_value,delta_from_baseline
septic_shock,alveolar_oxygen_reserve,respiration,0.7333,lactate_peak,1.518,1.518,0.0
septic_shock,alveolar_oxygen_reserve,respiration,0.7333,rescue_margin,0.996,0.996,0.0
septic_shock,alveolar_oxygen_reserve,respiration,0.875,spo2_nadir,94.595,96.22,-1.625
septic_shock,alveolar_oxygen_reserve,respiration,0.875,map_nadir,54.76,54.76,0.0
septic_shock,alveolar_oxygen_reserve,respiration,0.875,lactate_peak,1.518,1.518,0.0
septic_shock,alveolar_oxygen_reserve,respiration,0.875,rescue_margin,0.996,0.996,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.0167,spo2_nadir,96.437,96.22,0.217
septic_shock,alveolar_oxygen_reserve,respiration,1.0167,map_nadir,54.76,54.76,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.0167,lactate_peak,1.518,1.518,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.0167,rescue_margin,0.996,0.996,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.1583,spo2_nadir,98.278,96.22,2.058
septic_shock,alveolar_oxygen_reserve,respiration,1.1583,map_nadir,54.76,54.76,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.1583,lactate_peak,1.518,1.518,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.1583,rescue_margin,0.996,0.996,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.3,spo2_nadir,100.0,96.22,3.78
septic_shock,alveolar_oxygen_reserve,respiration,1.3,map_nadir,54.76,54.76,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.3,lactate_peak,1.518,1.518,0.0
septic_shock,alveolar_oxygen_reserve,respiration,1.3,rescue_margin,0.996,0.996,0.0
septic_shock,airway_resistance_factor,respiration,0.8,spo2_nadir,96.22,96.22,0.0
septic_shock,airway_resistance_factor,respiration,0.8,map_nadir,54.76,54.76,0.0
septic_shock,airway_resistance_factor,respiration,0.8,lactate_peak,1.518,1.518,0.0
septic_shock,airway_resistance_factor,respiration,0.8,rescue_margin,0.996,0.996,0.0
septic_shock,airway_resistance_factor,respiration,1.0333,spo2_nadir,95.647,96.22,-0.573
septic_shock,airway_resistance_factor,respiration,1.0333,map_nadir,54.76,54.76,0.0
septic_shock,airway_resistance_factor,respiration,1.0333,lactate_peak,1.518,1.518,0.0
septic_shock,airway_resistance_factor,respiration,1.0333,rescue_margin,0.996,0.996,0.0
