scenario,variable,module,kind,min,max,final,hard_low,hard_high,expected_low,expected_high,status,run_error
picu_insulin_stress_hyperglycemia_v1_16,vancomycin_target_attainment,Pharmacology/InfectionModules,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vasoplegia_index,AdvancedSepsisModule,index,0.0,0.22973530869622355,0.22973530869622355,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,venous_return_mod,HeartLung/RespiratoryMechanicsModule,modifier,0.9101055989202482,1.0,1.0,0.0,5.0,0.0,2.5,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_deadspace_frac,RespiratoryGasExchangeModule,fraction,0.3,0.3620247680148446,0.35989803690712513,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_exchange_frac,RespiratoryGasExchangeModule,fraction,0.766968293208935,0.9,0.7676337781078856,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_high_vq_burden,RespiratoryGasExchangeModule,burden_index,0.0,0.09391279592526006,0.09391279592526006,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_low_vq_burden,RespiratoryGasExchangeModule,burden_index,0.0,0.09391279592526006,0.09391279592526006,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_shunt_frac,RespiratoryGasExchangeModule,fraction,0.1,0.233031706791065,0.2323662218921144,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,warming_effect,ThermoregulationModule,effect_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,withdrawal_risk,PainStressSedationModule,risk_index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,withdrawal_state_index,NeuroFunctionalModule/ICPModule,index,0.0,0.3499999907944455,0.3495442172824659,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_adaptive_sigma,GasExchangeModule,dispersion_proxy,0.35,0.5744646552457882,0.5725707881830123,0.0,2.0,0.2,1.8,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_ards_weight,GasExchangeModule,index,0.0,0.1582376141965447,0.1566253002143698,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_obstruction_weight,GasExchangeModule,index,0.0,0.0,0.0,0.0,1.0,0.0,1.0,PASS,
picu_insulin_stress_hyperglycemia_v1_16,vq_shock_weight,GasExchangeModule,index,0.0,0.21266547605985883,0.20794162745031702,0.0,1.0,0.0,1.0,PASS,
